area,population,temperature,rainfall,holiday,last_collection_hours,waste_generated_kg,overflow
Ward-4,2409,38.0,9.8,0,24,89.3,0
Ward-18,3424,33.9,1.3,0,7,130.7,0
Ward-18,5257,37.3,28.1,1,8,219.68,0
Ward-1,4615,36.8,13.6,0,7,264.44,0
Ward-3,8224,20.6,33.9,1,26,255.82,1
Ward-4,8201,20.1,11.7,1,19,276.12,0
Ward-8,6741,44.6,34.2,0,13,263.87,0
Ward-12,4664,28.0,8.4,1,23,276.9,0
Ward-20,4803,32.4,9.8,1,13,200.0,0
Ward-18,5598,36.5,33.7,0,8,318.16,0
Ward-13,6386,19.8,36.5,1,7,312.97,0
Ward-15,4340,25.2,9.9,1,24,222.23,0
Ward-13,7930,23.9,39.9,1,3,432.14,1
Ward-5,4621,39.4,16.9,0,13,211.38,0
Ward-17,6119,44.2,34.4,0,22,323.14,0
Ward-18,6371,38.8,13.6,1,14,201.49,0
Ward-9,10201,38.6,20.3,0,28,511.06,1
Ward-17,11977,23.4,15.0,0,18,718.81,0
Ward-1,11813,26.8,0.8,1,29,715.85,1
Ward-8,2949,24.5,22.7,0,3,165.86,0
Ward-18,4060,21.5,19.0,0,9,190.33,0
Ward-7,10835,38.4,27.6,1,13,654.52,1
Ward-15,10479,30.2,9.9,0,11,323.14,0
Ward-19,5608,18.2,28.3,0,8,160.84,0
Ward-11,3160,31.9,11.1,1,7,154.85,0
Ward-19,11440,30.8,31.4,1,7,381.93,1
Ward-12,8939,29.1,34.6,0,22,449.25,1
Ward-2,8596,37.7,32.0,0,8,308.74,0
Ward-5,8912,23.0,18.5,0,15,497.63,0
Ward-4,2828,35.6,21.6,0,3,177.38,0
Ward-6,8658,31.1,8.5,1,29,270.13,0
Ward-13,6345,43.0,31.4,1,14,332.17,0
Ward-18,9973,22.2,11.9,0,19,501.75,0
Ward-11,2936,19.4,19.1,0,2,155.91,0
Ward-6,3122,34.1,27.0,0,13,120.5,0
Ward-8,11485,34.1,24.8,1,22,546.57,1
Ward-9,5346,36.1,12.6,1,13,187.19,0
Ward-15,7180,43.1,37.4,0,15,351.72,0
Ward-4,3200,32.5,20.2,0,30,112.26,0
Ward-8,8054,25.7,17.5,1,20,491.62,0
Ward-17,2128,36.0,22.2,0,29,57.03,0
Ward-4,11064,22.2,11.3,0,23,453.23,1
Ward-9,10280,31.2,36.2,0,3,517.19,1
Ward-2,2058,27.0,5.2,1,6,109.57,0
Ward-14,11189,18.3,3.0,0,18,342.53,0
Ward-18,4426,29.6,1.7,1,29,275.56,0
Ward-2,7862,23.7,10.0,0,12,435.22,0
Ward-14,4532,43.0,9.5,0,26,261.45,0
Ward-1,4938,37.9,13.3,1,26,256.78,0
Ward-8,6371,22.3,28.1,1,28,197.36,1
Ward-7,9541,27.4,32.8,0,8,280.73,0
Ward-11,6564,41.3,38.7,1,12,319.23,0
Ward-18,7425,43.4,4.6,1,6,371.42,0
Ward-2,3776,34.1,13.8,1,14,182.41,0
Ward-13,11446,23.1,1.8,1,1,534.17,1
Ward-7,7967,29.6,38.0,1,20,327.96,0
Ward-10,10308,26.4,16.3,1,23,385.76,1
Ward-14,8211,36.3,36.1,1,13,361.32,1
Ward-10,5443,29.6,23.2,1,15,242.45,0
Ward-17,9752,39.4,38.4,0,22,317.99,1
Ward-20,7491,20.5,38.1,0,22,306.75,0
Ward-5,2400,19.2,39.4,0,15,107.03,0
Ward-7,8291,31.3,9.8,0,29,446.32,1
Ward-4,8965,23.9,32.2,1,2,435.56,1
Ward-4,9478,21.6,18.6,1,25,542.31,1
Ward-17,8991,40.4,21.9,0,24,500.1,1
Ward-8,6543,38.7,20.9,0,9,291.17,0
Ward-8,6451,27.1,35.7,0,5,218.04,0
Ward-5,5505,19.7,16.3,1,14,188.75,0
Ward-13,11569,43.5,0.8,1,16,343.19,0
Ward-13,8865,32.5,29.4,0,16,321.74,0
Ward-1,8371,27.1,27.2,1,24,291.27,1
Ward-5,10751,18.7,15.8,0,3,515.26,0
Ward-15,4977,19.4,15.2,0,15,208.56,0
Ward-13,6558,38.3,33.3,1,27,193.63,1
Ward-18,2853,45.0,14.0,0,25,149.13,0
Ward-1,6051,23.4,0.8,0,8,211.22,0
Ward-19,5571,30.6,10.2,1,6,286.94,0
Ward-4,4683,44.0,4.3,0,30,191.41,0
Ward-13,8498,43.4,7.9,0,4,424.75,0
Ward-20,3983,39.5,22.6,0,12,189.61,0
Ward-3,10289,35.5,0.5,1,27,457.32,1
Ward-12,9532,37.1,17.4,1,20,518.6,1
Ward-16,9616,29.8,29.2,1,11,547.41,1
Ward-3,6569,41.8,9.8,1,19,312.51,0
Ward-1,10098,41.0,7.3,0,12,538.25,0
Ward-20,6526,33.0,20.7,0,3,239.29,0
Ward-18,5937,36.6,25.8,1,15,303.06,0
Ward-8,8625,36.7,12.2,1,16,395.71,0
Ward-18,7419,27.5,18.1,1,9,282.73,0
Ward-11,3958,38.1,38.0,0,7,143.8,0
Ward-19,10595,34.1,39.2,0,10,377.33,1
Ward-1,10751,21.4,1.8,0,18,434.52,0
Ward-16,3680,41.6,23.0,1,16,146.4,0
Ward-2,6136,43.4,19.1,0,13,277.68,0
Ward-2,4485,22.0,22.5,1,3,253.02,0
Ward-14,11933,34.1,24.7,1,15,675.12,1
Ward-19,9025,26.2,24.8,0,25,315.45,1
Ward-3,4573,24.5,22.1,0,1,200.81,0
Ward-16,6771,18.9,11.5,1,23,360.59,1
Ward-8,6334,39.3,25.0,0,14,200.82,0
Ward-5,6352,40.3,2.9,0,26,259.14,0
Ward-19,6728,29.9,18.7,1,23,273.97,0
Ward-18,10090,29.8,23.9,1,24,390.28,1
Ward-3,5750,44.0,33.4,0,25,279.25,0
Ward-2,4870,30.7,26.1,1,6,289.19,0
Ward-16,3494,30.7,16.3,1,22,102.22,0
Ward-14,10117,25.8,37.8,0,15,320.33,0
Ward-4,8622,41.4,33.0,0,22,482.01,1
Ward-2,5073,32.0,24.9,1,21,201.53,1
Ward-9,10998,21.5,11.5,1,4,344.67,0
Ward-8,4594,26.4,0.5,1,3,182.44,0
Ward-4,9560,43.6,25.9,0,16,545.96,1
Ward-9,8807,40.5,39.2,0,15,405.2,0
Ward-20,10327,38.1,5.5,0,9,563.37,0
