bin_id,population_nearby,rainfall_mm,temperature_c,is_holiday,hours_since_last_collection,previous_fill_percentage,overflow_probability,will_overflow
BIN-0002,4272,3.49,23.5,0,24.5,98.6,1.0,1
BIN-0068,837,0.42,14.4,0,23.6,98.3,1.0,1
BIN-0139,3804,8.48,21.5,0,34.0,85.8,1.0,1
BIN-0147,3499,6.21,20.7,0,45.3,39.8,1.0,1
BIN-0039,2561,13.8,21.9,0,44.5,87.7,1.0,1
BIN-0099,1370,1.3,11.3,1,46.4,55.8,1.0,1
BIN-0009,630,1.63,31.5,0,20.6,88.8,1.0,1
BIN-0116,2097,0.44,27.3,0,9.4,54.9,0.712,0
BIN-0054,3573,2.97,25.0,0,18.9,74.4,1.0,1
BIN-0145,2136,1.84,30.1,0,13.5,59.0,1.0,1
BIN-0109,3742,3.33,23.9,0,31.7,66.9,1.0,1
BIN-0061,4797,3.46,36.8,0,47.7,47.0,1.0,1
BIN-0046,3056,12.32,24.0,1,46.3,85.3,1.0,1
BIN-0067,1516,0.93,30.7,0,28.2,9.7,0.538,0
BIN-0032,4056,5.56,14.6,0,16.8,84.9,1.0,1
BIN-0137,4243,6.06,14.0,0,39.3,86.7,1.0,1
BIN-0013,2933,0.43,20.6,0,3.3,57.9,0.669,0
BIN-0032,4056,4.32,24.7,0,15.2,59.1,1.0,1
BIN-0086,700,1.44,9.1,0,14.5,96.5,1.0,1
BIN-0103,1363,0.45,25.4,0,31.3,72.6,1.0,1
BIN-0013,2933,17.46,14.5,0,13.5,18.4,0.621,0
BIN-0062,2481,9.04,18.8,0,9.2,25.0,0.603,0
BIN-0126,2737,0.49,27.2,0,22.0,73.0,1.0,1
BIN-0076,564,4.17,19.6,0,16.3,98.0,1.0,1
BIN-0144,3957,0.51,-0.9,0,22.0,39.9,1.0,1
BIN-0010,2185,14.89,22.4,0,44.9,50.1,1.0,1
BIN-0069,1378,5.76,29.5,1,41.9,63.6,1.0,1
BIN-0084,2778,4.28,37.7,0,27.1,94.1,1.0,1
BIN-0067,1516,8.59,15.8,0,11.9,37.7,0.618,0
BIN-0035,3388,2.05,15.8,0,17.7,26.1,0.962,1
BIN-0135,2498,0.63,32.6,0,35.8,80.3,1.0,1
BIN-0138,1995,2.75,40.0,0,7.9,25.0,0.5,0
BIN-0096,1528,2.08,37.4,0,6.7,90.3,0.988,1
BIN-0062,2481,3.43,12.6,0,4.5,95.9,1.0,1
BIN-0147,3499,0.48,27.6,1,28.4,63.2,1.0,1
BIN-0117,3560,0.48,34.0,0,45.5,78.1,1.0,1
BIN-0039,2561,0.48,19.4,0,22.3,88.8,1.0,1
BIN-0075,4384,0.62,28.3,0,6.7,8.4,0.351,0
BIN-0141,2353,1.26,32.1,0,25.6,23.3,0.839,0
BIN-0136,3945,2.34,34.2,1,47.4,75.3,1.0,1
BIN-0070,1576,6.16,6.3,0,13.4,33.0,0.551,0
BIN-0126,2737,3.39,24.9,0,7.5,11.8,0.321,0
BIN-0105,1063,6.82,16.2,0,24.0,8.3,0.411,0
BIN-0117,3560,16.51,26.8,0,27.5,96.9,1.0,1
BIN-0146,4196,0.91,19.4,1,34.1,38.4,1.0,1
BIN-0012,2891,15.93,23.9,0,17.4,17.0,0.805,0
BIN-0090,1304,2.46,18.9,0,14.0,45.3,0.6,0
BIN-0145,2136,1.64,38.8,0,8.1,7.6,0.181,0
BIN-0134,1163,14.96,30.9,0,44.9,86.6,1.0,1
BIN-0109,3742,0.9,36.2,0,47.3,37.7,1.0,1
BIN-0026,3234,2.4,24.1,0,14.6,5.6,0.612,0
BIN-0006,3944,5.88,38.1,1,28.9,72.6,1.0,1
BIN-0083,4061,1.42,16.5,1,29.9,22.9,1.0,1
BIN-0113,3657,7.07,25.0,0,40.2,30.8,1.0,1
BIN-0054,3573,17.21,20.5,0,38.1,63.9,1.0,1
BIN-0075,4384,1.2,33.5,0,22.1,90.4,1.0,1
BIN-0052,2085,3.96,31.9,0,26.1,69.8,1.0,1
BIN-0029,1767,0.8,24.9,0,23.1,98.0,1.0,1
BIN-0053,4443,2.13,28.0,0,26.7,46.0,1.0,1
BIN-0080,1995,0.82,27.9,0,17.9,89.7,1.0,1
BIN-0093,2070,18.08,14.1,0,17.9,34.8,0.877,0
BIN-0022,3247,0.46,24.1,0,18.8,50.3,1.0,1
BIN-0045,1978,1.94,24.7,0,25.5,15.7,0.637,0
BIN-0048,4514,0.32,31.8,0,10.5,20.9,0.655,0
BIN-0127,1806,12.89,31.1,0,35.1,6.2,0.822,0
BIN-0056,3961,0.71,31.9,0,3.4,86.7,1.0,1
BIN-0038,2863,3.8,18.5,0,2.9,32.2,0.367,0
